State,Total Area (sq mi),Land Area (sq mi),Water Area (sq mi)
Alaska,665384.04,570640.95,94743.10
Texas,268596.46,261231.71,7364.75
California,163694.74,155779.22,7915.52
Montana,147039.71,145545.8,1493.91
New Mexico,121590.3,121298.15,292.15
Arizona,113990.3,113594.08,396.22
Nevada,110571.82,109781.18,790.65
Colorado,104093.67,103641.89,451.78
Oregon,98378.54,95988.01,2390.53
Wyoming,97813.01,97093.14,719.87
Michigan,96713.51,56538.9,40174.61
Minnesota,86935.83,79626.74,7309.09
Utah,84896.88,82169.62,2727.26
Idaho,83568.95,82643.12,925.83
Kansas,82278.36,81758.72,519.64
Nebraska,77347.81,76824.17,523.64
South Dakota,77115.68,75811.0,1304.68
Washington,71297.95,66455.52,4842.43
North Dakota,70698.32,69000.8,1697.52
Oklahoma,69898.87,68594.92,1303.95
Missouri,69706.99,68741.52,965.47
Florida,65757.7,53624.76,12132.94
Wisconsin,65496.38,54157.8,11338.57
Georgia,59425.15,57513.49,1911.66
Illinois,57913.55,55518.93,2394.62
Iowa,56272.81,55857.13,415.68
New York,54554.98,47126.4,7428.58
North Carolina,53819.16,48617.91,5201.25
Arkansas,53178.55,52035.48,1143.07
Alabama,52420.07,50645.33,1774.74
Louisiana,52378.13,43203.9,9174.23
Mississippi,48431.78,46923.27,1508.51
Pennsylvania,46054.34,44742.7,1311.64
Ohio,44825.58,40860.69,3964.89
Virginia,42774.93,39490.09,3284.84
Tennessee,42144.25,41234.9,909.36
Kentucky,40407.8,39486.34,921.46
Indiana,36419.55,35826.11,593.44
Maine,35379.74,30842.92,4536.82
South Carolina,32020.49,30060.7,1959.79
West Virginia,24230.04,24038.21,191.83
Maryland,12405.93,9707.24,2698.69
Hawaii,10931.72,6422.63,4509.09
Massachusetts,10554.39,7800.06,2754.33
Vermont,9616.36,9216.66,399.71
New Hampshire,9349.16,8952.65,396.51
New Jersey,8722.58,7354.22,1368.36
Connecticut,5543.41,4842.36,701.06
Delaware,2488.72,1948.54,540.18
Rhode Island,1544.89,1033.81,511.07
