Name,Floors,Year,Height (ft),City
One World Trade Center,104,2014,1776,New York City
Central Park Tower,98,2020,1550,New York City
Willis Tower,108,1974,1450,Chicago
111 West 57th Street,84,2021,1428,New York City
One Vanderbilt,93,2020,1401,New York City
432 Park Avenue,85,2015,1396,New York City
Trump International Hotel and Tower,98,2009,1388,Chicago
30 Hudson Yards,103,2019,1270,New York City
Empire State Building,102,1931,1250,New York City
Bank of America Tower,55,2009,1200,New York City
St. Regis Chicago,101,2020,1198,Chicago
Aon Center,83,1973,1136,Chicago
875 North Michigan Avenue,100,1969,1128,Chicago
Comcast Technology Center,60,2018,1121,Philadelphia
Wilshire Grand Center,73,2017,1100,Los Angeles
3 World Trade Center,69,2018,1079,New York City
The Brooklyn Tower*,74,2022,1066,New York
53W53,77,2019,1050,New York City
Chrysler Building,77,1930,1046,New York City
The New York Times Building,52,2007,1046,New York City
The Spiral,66,2022,1043,New York City
Bank of America Plaza,55,1992,1023,Atlanta
U.S. Bank Tower,73,1989,1018,Los Angeles
Franklin Center,62,1989,1007,Chicago
One57,90,2014,1004,New York City
JPMorgan Chase Tower,79,1982,1002,Houston
35 Hudson Yards,72,2019,1000,New York City
Two Prudential Plaza,69,1990,994,Chicago
1 Manhattan West,69,2022,994,New York City
Wells Fargo Plaza,75,1983,991,Houston
50 Hudson Yards,58,2022,981,New York City
4 World Trade Center,78,2013,978,New York City
One Chicago East Tower,78,2022,974,Chicago
Comcast Center,60,2008,971,Philadelphia
311 South Wacker Drive,67,1990,961,Chicago
220 Central Park South,67,2020,952,New York City
70 Pine Street,70,1932,952,New York City
Key Tower,57,1991,948,Cleveland
One Liberty Place,61,1987,945,Philadelphia
2 Manhattan West,58,2022,935,New York City
Four Seasons Hotel New York Downtown,67,2016,935,New York City
Columbia Center,83,1985,932,Seattle
40 Wall Street,70,1930,928,New York City
Bank of America Plaza,72,1985,922,Dallas
601 Lexington Avenue,59,1977,915,New York City
15 Hudson Yards,70,2019,912,New York City
125 Greenwich Street*,72,2022,912,New York City
Williams Tower,66,1983,901,Houston
99 Hudson Street*,79,2019,900,Jersey City
425 Park Avenue*,47,2022,897,New York City
NEMA Chicago,76,2019,896,
Renaissance Tower,58,1974,886,Dallas
10 Hudson Yards,52,2016,878,New York City
Sixth X Guadalupe,66,2023,875,Austin
Truist Plaza,60,1992,871,Atlanta
Bank of America Corporate Center,62,1992,871,Charlotte
8 Spruce Street,76,2011,870,New York City
900 North Michigan,66,1989,869,Chicago
Panorama Tower,85,2017,868,Miami
Trump World Tower,74,2001,861,New York City
Water Tower Place,74,1976,859,Chicago
Aqua,87,2010,859,Chicago
Aon Center,62,1973,858,Los Angeles
Transamerica Pyramid,48,1972,853,San Francisco
30 Rockefeller Plaza,70,1933,850,New York City
Chase Tower,61,1969,850,Chicago
Two Liberty Place,58,1990,848,Philadelphia
One Manhattan Square*,73,2019,847,New York City
Rainier Square Tower,64,2020,847,
Sutton 58,67,2022,847,New York
Park Tower,70,2000,844,Chicago
Devon Energy Center,52,2012,844,Oklahoma City
One Bennett Park,67,2019,844,Chicago
U.S. Steel Tower,67,1970,841,Pittsburgh
Salesforce Tower Chicago,60,2023,835,Chicago
56 Leonard Street,60,2016,821,New York City
One Atlantic Center,50,1987,820,Atlanta
The Legacy at Millennium Park,72,2009,818,Chicago
110 North Wacker,58,2020,817,Chicago
Aston Martin Residences,66,2022,817,Miami
CitySpire Center,77,1987,814,New York City
28 Liberty Street,65,1961,813,New York City
4 Times Square,50,1999,809,New York City
MetLife Building,60,1963,808,New York City
731 Lexington Avenue,57,2005,806,New York City
1000M,73,2023,805,Chicago
181 Fremont,66,2018,802,San Francisco
